City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
149,Uige,AO,2022-07-12 18:32:18,-7.6087,15.0613,70.09,47,32,0.87
150,Fukue,JP,2022-07-12 18:32:19,32.6881,128.8419,77.7,82,100,3.89
151,Riviera Beach,US,2022-07-12 18:27:31,26.7753,-80.0581,96.08,70,75,16.11
152,Esperance,AU,2022-07-12 18:32:20,-33.8667,121.9,51.87,55,0,6.78
153,Homer,US,2022-07-12 18:31:47,59.6425,-151.5483,61.77,76,0,3.44
154,Morant Bay,JM,2022-07-12 18:32:20,17.8815,-76.4093,90.72,68,93,15.14
155,Bintulu,MY,2022-07-12 18:32:21,3.1667,113.0333,73.81,94,20,5.01
156,Cajuru,BR,2022-07-12 18:32:22,-21.2753,-47.3042,78.62,32,100,8.16
157,Hare Bay,CA,2022-07-12 18:32:23,48.8499,-54.0148,76.35,36,15,14.72
158,Ilulissat,GL,2022-07-12 18:32:24,69.2167,-51.1,44.62,81,75,5.75
159,Cedar City,US,2022-07-12 18:32:25,37.6775,-113.0619,93.4,19,0,6.91
160,Ostrovnoy,RU,2022-07-12 18:32:25,68.0531,39.5131,57.81,96,100,2.93
161,Merauke,ID,2022-07-12 18:32:25,-8.4667,140.3333,77.5,81,100,16.26
162,Dashitou,CN,2022-07-12 18:32:26,43.3067,128.5114,61.86,95,100,4.0
163,Khatanga,RU,2022-07-12 18:32:26,71.9667,102.5,37.18,95,100,10.51
164,Nha Trang,VN,2022-07-12 18:29:54,12.25,109.1833,77.0,90,100,5.59
165,Rognan,NO,2022-07-12 18:32:27,67.0953,15.3878,67.75,63,86,4.23
166,Bubaque,GW,2022-07-12 18:32:28,11.2833,-15.8333,81.09,78,100,8.21
167,Gat,IL,2022-07-12 18:32:28,31.61,34.7642,80.82,100,0,7.29
168,East London,ZA,2022-07-12 18:28:23,-33.0153,27.9116,56.34,88,0,4.61
169,Port Lincoln,AU,2022-07-12 18:30:16,-34.7333,135.8667,54.34,59,100,10.49
170,Aripuana,BR,2022-07-12 18:32:29,-9.1667,-60.6333,93.88,31,19,1.99
171,Oktyabrskoye,RU,2022-07-12 18:32:29,43.0645,44.7417,71.74,83,5,6.71
172,San Vicente,AR,2022-07-12 18:32:30,-26.6167,-54.1333,59.09,50,2,4.43
173,Eureka,US,2022-07-12 18:32:30,40.8021,-124.1637,72.19,79,90,5.99
174,Tuatapere,NZ,2022-07-12 18:32:31,-46.1333,167.6833,42.78,96,100,6.33
175,Asau,RO,2022-07-12 18:32:32,46.4333,26.4,63.52,67,0,7.09
176,Nanga Eboko,CM,2022-07-12 18:33:33,4.6833,12.3667,69.6,94,95,1.7
177,Wuda,CN,2022-07-12 18:33:33,39.4994,106.7117,77.16,50,100,3.22
178,Indramayu,ID,2022-07-12 18:33:34,-6.3264,108.32,78.82,83,56,8.1
179,Tuktoyaktuk,CA,2022-07-12 18:33:35,69.4541,-133.0374,42.8,100,100,10.36
180,Olafsvik,IS,2022-07-12 18:33:35,64.8945,-23.7142,49.42,68,97,11.97
181,Cairns,AU,2022-07-12 18:29:45,-16.9167,145.7667,62.55,94,75,9.22
182,Havre-Saint-Pierre,CA,2022-07-12 18:33:36,50.2334,-63.5986,62.96,82,100,9.22
183,Barrow,US,2022-07-12 18:33:37,71.2906,-156.7887,37.42,87,100,10.36
184,Kayerkan,RU,2022-07-12 18:33:37,69.3497,87.7602,44.53,81,93,11.79
185,Ust-Maya,RU,2022-07-12 18:33:37,60.4167,134.5333,61.36,99,100,5.12
186,Mount Isa,AU,2022-07-12 18:33:38,-20.7333,139.5,47.97,46,5,9.22
187,Vestmannaeyjar,IS,2022-07-12 18:33:38,63.4427,-20.2734,56.39,71,40,20.71
188,Kruisfontein,ZA,2022-07-12 18:33:39,-34.0033,24.7314,48.88,84,0,3.85
189,Ambon,ID,2022-07-12 18:33:39,-3.6954,128.1814,76.23,16,40,4.61
190,Sjovegan,NO,2022-07-12 18:33:39,68.8726,17.8474,72.88,65,100,0.72
191,Pangai,TO,2022-07-12 18:33:40,-19.8,-174.35,73.51,94,20,6.91
192,Leningradskiy,RU,2022-07-12 18:33:40,69.3833,178.4167,44.73,94,100,4.21
193,Boundiali,CI,2022-07-12 18:33:41,9.5217,-6.4869,75.38,85,7,2.48
194,Alofi,NU,2022-07-12 18:33:41,-19.0595,-169.9187,75.09,83,67,10.36
195,Chokurdakh,RU,2022-07-12 18:33:42,70.6333,147.9167,45.95,89,100,9.8
196,Laguna,US,2022-07-12 18:33:42,38.421,-121.4238,94.96,40,0,8.05
197,Saint-Pierre,RE,2022-07-12 18:33:42,-21.3393,55.4781,69.48,74,40,16.11
198,Koslan,RU,2022-07-12 18:33:43,63.4564,48.8989,71.44,63,100,10.22
199,Mendeleyevo,RU,2022-07-12 18:33:43,56.0333,37.2167,69.48,60,20,8.95
200,Nioro,GM,2022-07-12 18:33:44,13.35,-15.75,86.9,64,85,9.89
201,Praya,CV,2022-07-12 18:33:45,14.9215,-23.5087,81.14,69,20,12.66
202,Ukiah,US,2022-07-12 18:33:45,39.1502,-123.2078,96.44,38,0,4.61
203,Kargasok,RU,2022-07-12 18:32:08,59.0556,80.8572,53.24,60,10,7.29
204,Aswan,EG,2022-07-12 18:33:46,24.0934,32.907,93.25,19,82,12.17
205,Narsaq,GL,2022-07-12 18:33:46,60.9167,-46.05,55.62,74,26,8.14
206,Yar-Sale,RU,2022-07-12 18:33:47,66.8333,70.8333,46.49,70,94,5.64
207,Astoria,US,2022-07-12 18:29:34,46.1879,-123.8313,69.48,80,40,17.27
208,Naze,JP,2022-07-12 18:33:47,28.3667,129.4833,77.92,88,96,7.07
209,Comodoro Rivadavia,AR,2022-07-12 18:30:03,-45.8667,-67.5,46.26,53,20,16.11
210,Xining,CN,2022-07-12 18:33:48,36.6167,101.7667,57.85,79,19,2.37
211,Kempsey,AU,2022-07-12 18:33:49,-31.0833,152.8333,43.9,93,88,3.89
212,Ancud,CL,2022-07-12 18:33:49,-41.8697,-73.8203,41.23,68,95,13.06
213,Sitka,US,2022-07-12 18:33:50,57.0531,-135.33,55.29,76,100,0.0
214,Lisakovsk,KZ,2022-07-12 18:33:50,52.5369,62.4936,69.87,69,6,7.83
215,Brae,GB,2022-07-12 18:33:51,60.3964,-1.353,54.73,76,79,24.63
216,Seremban,MY,2022-07-12 18:33:51,2.7297,101.9381,76.51,92,99,2.28
217,Codrington,AU,2022-07-12 18:33:52,-38.2667,141.9667,47.25,73,8,8.88
218,Port Augusta,AU,2022-07-12 18:33:52,-32.5,137.7667,44.47,89,6,4.45
219,Thessalon,CA,2022-07-12 18:33:53,46.2501,-83.5666,68.29,56,100,11.43
